spanish,english
de,of
que,that
no,No
a,to
la,the
el,he
es,is
y,and
en,in
lo,it
un,a
por,by
me,me
qué,that
una,a
te,tea
los,the
se,HE
con,with
para,for
mi,my
está,this
si,Yeah
pero,but
las,the
su,his
yo,I
tu,you
del,of the
al,to the
como,as
le,you
eso,that
sí,Yeah
esta,this
ya,already
más,further
muy,very
hay,there is
bien,good
estoy,I'm
todo,all
nos,us
tengo,I have
ha,ha
este,this
cuando,when
sólo,only
vamos,come on
cómo,as
estás,are
o,either
soy,am
puedo,I can
esto,this
quiero,wanna
aquí,here
tiene,has
tú,you
ahora,now
algo,something
fue,was
son,are
ser,be
he,I have
era,was
eres,are
así,So
sé,HE
tienes,have
ese,that
bueno,Well
creo,believe
todos,all
sus,their
puede,can
voy,go
tan,so
esa,that
porque,because
dónde,where
hacer,do
quién,who
nunca,never
nada,nothing
él,he
estaba,was
están,are
quieres,want
va,goes
sabes,You know
vez,time
hace,does
ella,she
dos,two
tenemos,have
puedes,can
sin,without
hasta,until
sr,Mr
oh,oh
entonces,so
dios,God
sobre,about
usted,you
ni,neither
has,you have
mis,my
mejor,better
mucho,a lot
gracias,thank you
ver,see
hola,hello
solo,only
estar,be
les,them
estamos,we are
siento,I feel
alguien,someone
otra,other
siempre,always
hombre,man
uno,one
donde,where
quiere,wants
parece,seems
antes,before
ir,go
mira,look
vas,you go
tal,such
tus,your
decir,say
han,they have
ahí,there
poco,bit
estas,are
nadie,nobody
desde,from
sea,be
también,also
tiempo,time
gran,great
dijo,said
favor,favor
podemos,can
casa,home
gente,people
cosas,things
otro,other
día,day
buen,good
podría,could
debe,has to
necesito,need
había,there was
después,after
será,will be
hecho,made
señor,Sir
nuestro,our
vida,life
tener,have
sabe,know
quien,who
tenía,had
hablar,talk
buena,good
ellos,they
dije,said
toda,all
tipo,guy
fuera,out
estado,state
crees,do you believe
ven,come
sido,been
todas,all
tienen,have
menos,less
dice,says
haber,have
tres,three
cada,each
padre,father
años,years
hijo,son
nosotros,us
claro,clear
aún,still
seguro,sure
nuestra,our
gusta,like
espera,wait
ve,go
trabajo,job
lugar,place
verdad,TRUE
pasa,happens
debo,I must
alguna,some
quería,wanted to
unos,some
esos,those
luego,then
mas,further
oye,hey
quizá,maybe
van,they go
mí,my
hemos,we have
ti,you
estos,these
mismo,same
algún,some
pueden,they can
noche,evening
mundo,world
visto,seen
cosa,stuff
nombre,name
realmente,really
entre,between
buenas,hello good
ah,oh
somos,are
veo,I see
hizo,did
esas,those
parte,part
pues,well
saber,know
haciendo,doing
debes,you must
muchas,many
casi,almost
amigo,friend
hora,hour
quizás,maybe
dinero,money
hacia,toward
haces,you do
demasiado,too much
ud,You
pensé,I thought
madre,mother
deja,leaves
hoy,today
veces,times
debería,ought
contra,against
primera,first
mientras,while
cualquier,any
nuevo,new
todavía,still
debemos,must
ustedes,you
mal,evil
hombres,men
tanto,so much
salir,go out
digo,say
mujer,women
nueva,new
momento,moment
sería,I would be
papá,dad
ves,you see
da,da
hey,hey
importa,matters
cuánto,how much
días,days
cuál,which
espero,wait
mañana,tomorrow
dame,give me
vaya,Oh
iba,was going
mamá,mother
vi,I saw
déjame,let me
sabía,knew
ningún,none
buenos,good
dr,dr
durante,during
mierda,shit
forma,shape
allí,over there
hice,I did
único,only
sigue,go on
bajo,low
poder,can
acuerdo,agreement
volver,return
nuestros,our
haya,is
supongo,i guess
toma,take
siquiera,even
quieren,they want
chica,girl
dejar,leave
aunque,although
unas,nails
idea,idea
ay,Oh
dicho,saying
necesitamos,need
viene,comes
allá,there
ninguna,none
significa,means
hubiera,had
algunos,some
tomar,take
sra,mrs
dentro,inside
primer,first
llama,calls
gustaría,I would like
e,and
dijiste,you said
diablos,devils
fin,end
pasó,passed
maldita,damned
deberías,you should
muchos,many
cree,believe
habla,speaks
fui,I went
necesita,needs
policía,police
última,last
vete,go away
lado,side
maldito,damned
otros,others
razón,reason
primero,first
cuenta,account
amor,love
justo,fair
chico,boy
llegar,arrive
cuándo,when
dime,tell me
ok,ok
cinco,five
dar,give
algunas,some
vale,Okay
haré,I will do
problema,problem
tuve,I had
dicen,they say
pasar,pass
mío,mine
familia,family
viejo,old
hago,do
escucha,listen
pueda,can
esté,this
año,year
pasado,past
cuidado,careful
podía,could
hacerlo,do it
eran,were
personas,people
tarde,late
saben,they know
caso,case
adónde,where to
venga,come
fueron,were
cuanto,how much
cerca,near
pequeño,little
estuvo,was
necesitas,you need
hiciste,you did
manos,hands
estabas,you were
encontrar,find
queda,is left over
chicos,guys
estará,will be
historia,history
número,number
suerte,luck
cual,which
feliz,happy
pronto,soon
amigos,friends
eh,Hey
par,pair
igual,equal
venir,come
cuatro,four
clase,class
trata,treats
iré,I will go
capitán,captain
cierto,TRUE
hablando,talking
srta,Ms
hagas,do
hermano,brother
dices,you say
éste,this
manera,manner
hacen,do
puerta,door
os,you
bastante,quite
ciudad,city
matar,kill
esposa,wife
nuestras,our
única,unique
aqui,here
camino,path
cabeza,head
tenido,had
podrías,could you
dio,gave
tenga,have
conozco,know
niños,children
mucha,a lot
di,say
creer,believe
niño,child
cariño,dear
vino,came
jefe,boss
miedo,fear
medio,half
equipo,equipment
habrá,there will be
entrar,enter
deben,must
muerte,death
acerca,about
último,last
punto,spot
vivir,live
haga,do
misma,same
realidad,reality
lleva,carry
guerra,war
persona,person
pienso,I think
sangre,blood
conmigo,with me
dile,tell him
rápido,fast
seguir,continue
pensar,think
seis,six
además,besides
listo,ready
adiós,bye
entiendo,I understand
ojos,eyes
minutos,minutes
mayor,elderly
semana,week
agua,water
sabemos,we know
mano,hand
hija,daughter
habría,there would be
haz,beam
ayuda,aid
tío,uncle
doctor,doctor
auto,car
diré,I will say
asi,So
ésta,this
jamás,never
incluso,even
difícil,difficult
noches,nights
contigo,with you
estaban,were
paso,passed
tuvo,had
estaré,I will be
horas,hours
juego,game
problemas,issues
piensa,think
cuerpo,body
quisiera,I'd like
queremos,we want
llamo,called
demonios,demons
señora,lady
agente,agent
grande,big
comida,meal
buscar,look for
digas,say
muerto,dead
mil,thousand
cara,face
falta,lack
estuve,I have been
acaba,ends
otras,others
probablemente,probably
detrás,behind
vuelve,comes back
tampoco,neither
pequeña,small
sino,but
siendo,being
comer,eat
deberíamos,we should
recuerdo,memory
mala,bad
seas,be
trabajar,work
segundo,second
final,end
vemos,we see
mujeres,women
jugar,play
quédate,stay
poner,put
amo,love
importante,important
dado,given
odio,hate
creí,I believed
suena,sounds
buscando,searching
suficiente,enough
usar,wear
supuesto,supposed
serio,Serious
miren,look
luz,light
murió,died
loco,crazy
corazón,heart
piensas,you think
llamar,call
acabo,just
viste,you saw
tierra,land
diez,ten
resto,rest
vuelta,lap
tras,after
hará,will
alto,high
culpa,blame
lamento,lament
preocupes,worry
arriba,above
conoces,you know
fiesta,party
morir,die
joven,young
ése,that
esperar,wait
cuarto,room
eras,you were
mire,Look
fácil,easy
tratando,treating
vine,I came
llamado,called
perder,lose
sal,salt
chicas,girls
basta,Enough
pregunta,ask
llegó,arrive
haría,would
supone,supposes
ten,have
trato,deal
recuerda,remember
padres,parents
podríamos,we could
oído,ear
rey,king
grandes,big
pensando,thinking
hacemos,we do
hijos,children
esperando,expecting
tenías,you had
exactamente,exactly
das,give
armas,arms
pudo,could
perro,dog
propia,own
temo,I fear
adelante,forward
lista,list
próxima,next
llevar,carry
abre,open
fuerte,strong
lejos,far
puta,bitch
peor,worse
general,general
anda,go
darle,give
frente,forehead
meses,months
fuiste,you went
gusto,taste
uds,You
hermana,sister
haremos,we will
recuerdas,do you remember
millones,million
diga,say
dejó,let
pobre,poor
ido,gone
vio,saw
estaría,would be
arma,weapon
hubo,was
llevo,he took
palabra,word
tendrá,will have
escuela,school
seguridad,security
sistema,system
tendrás,you will have
disculpe,excuse me
asunto,affair
diciendo,saying
nave,nave
aun,still
plan,plan
estan,are
traje,suit
sentido,sense
control,control
siente,feel
sientes,you feel
vive,lives
cambiar,change
vivo,alive
trae,brings
pude,could
decirte,tell you
presidente,president
grupo,cluster
genial,brilliant
simplemente,simply
encontré,I found
malo,bad
sean,be
venido,come
tengas,have
dale,give it
prueba,proof
propio,own
tendré,I will have
mató,killed
sola,alone
pasando,passing
doy,give
juntos,together
sentir,feel
perdido,lost
oportunidad,chance
gustan,like
conseguir,get
pueblo,town
daré,I will give
verte,see you
dijeron,they said
sale,comes out
veras,you will see
conoce,know
puesto,position
deje,let
orden,order
cambio,change
perdón,sorry
tendremos,we will have
atrás,back
través,through
mitad,half
fuerza,force
dan,give
ante,in view of
carajo,fuck
hablo,speak
espere,wait
libro,book
ropa,clothes
veré,I will see
querido,darling
abajo,below
campo,field
decirle,tell
segura,safe
busca,seeks
según,according to
derecho,right
calle,street
salió,came out
hablas,speak
cuántos,how many
cállate,be quiet
encanta,loves
ayudar,help
junto,together
asesino,killer
centro,center
creía,believed
pagar,pay
vienen,they come
quise,I wanted
viaje,journey
estés,you are
porqué,because
oficial,official
posible,possible
oí,I heard
acá,here
baja,low
estábamos,we were
mejores,best
oficina,office
hicieron,they did
tipos,guys
pase,happens
hacía,toward
pensaba,thought
creen,believe
modo,mode
entra,enter
dormir,sleep
media,average
pudiera,could
seré,I will be
salvar,save
profesor,teacher
excepto,except
fuego,fire
ojalá,I wish
largo,long
línea,line
verdadero,TRUE
siete,seven
ganar,gain
james,james
sitio,place
comprar,buy
ejército,army
encuentra,finds
país,country
extraño,strange
niña,little girl
llega,arrives
dólares,dollars
placer,pleasure
decirme,tell me
san,saint
dolor,pain
sala,hall
caballeros,gentlemen
segunda,second
ésa,that
usa,use
sueño,dream
iremos,we will go
completamente,completely
totalmente,completely
coche,car
afuera,outside
encima,on
diría,I would say
vuelto,turned
llamada,call
estarás,you will be
querida,Dear
volveré,I will return
señorita,Miss
llegado,arrived
querías,you wanted
bebé,baby
hazlo,do it
regresar,go back
bienvenido,welcome
empezar,begin
terminar,finish
teléfono,phone
estaremos,we will be
compañía,company
necesitan,need
pena,grief
puso,put
serán,they will be
sacar,take out
ataque,stroke
apenas,barely
caja,box
tome,take
sucede,happens
pone,puts
serás,you will be
cielo,darling
podrían,could
dejes,leave
hagan,do
información,information
programa,program
duro,hard
acabó,just
trabajando,working
palabras,words
negocio,business
ambos,both
trabaja,works
noticias,news
foto,photo
veamos,let's see
decía,said
cierra,close
lindo,nice
oír,hear
quedan,remain
paz,peace
vayan,go
quiera,want
hospital,hospital
acaso,perhaps
deseo,desire
pregunto,asked
servicio,service
aire,air
tranquilo,don't worry
semanas,weeks
avión,plane
estados,states
mente,mind
alrededor,around
voz,voice
libre,free
muchachos,boys
irme,leave
apuesto,handsome
sigues,you continue
especial,special
dieron,they gave
café,coffee
mensaje,message
anoche,last night
juro,I swear
dejé,I left
debajo,below
encontramos,we find
tenia,had
santo,holy
maestro,teacher
minuto,minute
fotos,photos
hayas,beech
estuviste,you were
habitación,room
pareces,you seem
alegro,glad
dejado,left
darme,give me
respuesta,answer
hicimos,we did
música,music
intento,tried
parecía,it seemed
dejaré,I will leave
sexo,sex
marido,husband
vengan,come
darte,give you
ocurre,occurs
listos,ready
habían,they had
esperen,wait
señal,sign
futuro,future
permiso,permission
situación,situation
edad,age
atención,attention
aquel,that
debí,I should have
cama,bed
vuelva,come back
amiga,friend
demás,others
damas,ladies
debía,should
hacerte,make you
puedas,you can
club,club
vámonos,let's go
tendría,would have
esperaba,I expected
llaman,they call
ninguno,none
alegra,happy
nivel,level
blanco,white
negro,black
tonto,silly
mantener,keep
estén,are
causa,cause
vieja,old
viendo,seeing
linda,cute
déjeme,let me
tuviste,you had
raro,queer
boca,mouth
ahi,there
finalmente,finally
película,movie
salga,get out
preguntas,questions
llamó,called
base,base
tuvimos,we had
luna,moon
habías,had
ocho,eight
mayoría,most
vienes,you come
pido,I ask
tenían,they had
llevó,he took
verás,you will see
volvió,came back
solía,used to
daño,damage
tengan,have
pon,put
perdí,I lost
llamaré,I will call
empieza,begin
conocer,know
estuviera,was
ley,law
quieras,you want
acabar,end
podrá,will be able
dra.,Dr.
dejo,let
pelo,hair
gobierno,government
pie,foot
corre,runs
últimos,last
abrir,open
siguiente,following
misión,mission
llevas,you carry
regreso,return
existe,exists
quienes,who
miles,thousands
tanta,so much
encontrado,found
secreto,secret
bonito,pretty
montón,lot
hacerle,do
barco,ship
entiendes,you understand
maldición,curse
teniente,lieutenant
carne,meat
irá,gonna
real,real
don,gift
regalo,gift
fuimos,went